$k_{c}$,$k_{s}$,$evr$,$h_{b}$,$l_{c}$,$l_{s}$,friction C,friction p,friction q,bed angle,surface parabola,$melt rate$,$Q_{in}$,seasonal melt flag,ID,Name,Notes
1e-1,2e-2,1e-4,1e-1,20,5,1e2,4,1,0.0075,1.1,0.25,10,0,1,Default,`Default run'
2e-1,2e-2,1e-4,1e-1,20,5,1e2,4,1,0.0075,1.1,0.25,10,0,2,HiChK,`High channel conductivity'
1e-2,2e-2,1e-4,1e-1,20,5,1e2,4,1,0.0075,1.1,0.25,10,0,3,LoChK,`Low channel conductivity'
1e-1,5e-2,1e-4,1e-1,20,5,1e2,4,1,0.0075,1.1,0.25,10,0,4,HiShK,`High sheet conductivity'
1e-1,5e-3,1e-4,1e-1,20,5,1e2,4,1,0.0075,1.1,0.25,10,0,5,LoShK,`Low sheet conductivity'
1e-1,2e-2,1e-2,1e-1,20,5,1e2,4,1,0.0075,1.1,0.25,10,0,6,HiEVR,`High englacial void ratio'
1e-1,2e-2,1e-5,1e-1,20,5,1e2,4,1,0.0075,1.1,0.25,10,0,7,LoEVR,`Low englacial void ratio'
1e-1,2e-2,1e-4,2e-1,20,5,1e2,4,1,0.0075,1.1,0.25,10,0,8,HiBedBum,`High basal bump height'
1e-1,2e-2,1e-4,5e-2,20,5,1e2,4,1,0.0075,1.1,0.25,10,0,9,LoBedBum,`Low basal bump height'
1e-1,2e-2,1e-4,1e-1,50,5,1e2,4,1,0.0075,1.1,0.25,10,0,10,HiChWid,`High channel sheet width'
1e-1,2e-2,1e-4,1e-1,5,5,1e2,4,1,0.0075,1.1,0.25,10,0,11,LoChWid,`Low channel sheet width'
1e-1,2e-2,1e-4,1e-1,20,20,1e2,4,1,0.0075,1.1,0.25,10,0,12,HiCavSp,`High sheet cavity spacing'
1e-1,2e-2,1e-4,1e-1,20,1,1e2,4,1,0.0075,1.1,0.25,10,0,13,LoCavSp,`Low sheet cavity spacing'
1e-1,2e-2,1e-4,1e-1,20,5,2e2,4,1,0.0075,1.1,0.25,10,0,14,HiFricC,`High friction C'
1e-1,2e-2,1e-4,1e-1,20,5,5e1,4,1,0.0075,1.1,0.25,10,0,15,LoFricC,`Low friction C'
1e-1,2e-2,1e-4,1e-1,20,5,1e2,1,1,0.0075,1.1,0.25,10,0,16,LoFricp,`Low friction p (1)'
1e-1,2e-2,1e-4,1e-1,20,5,1e2,4,2,0.0075,1.1,0.25,10,0,17,HiFricq,`High friction q (2)'
1e-1,2e-2,1e-4,1e-1,20,5,1e2,4,1,0.01,1.1,0.25,10,0,18,HiBSin,`High bed angle
1e-1,2e-2,1e-4,1e-1,20,5,1e2,4,1,0.005,1.1,0.25,10,0,19,LoBSin,'Low bed angle
1e-1,2e-2,1e-4,1e-1,20,5,1e2,4,1,0.0075,2,0.25,10,0,20,HiHPar,`High surface parabola'
1e-1,2e-2,1e-4,1e-1,20,5,1e2,4,1,0.0075,0.5,0.25,10,0,21,LoHPar,'Low surface parabola'
1e-1,2e-2,1e-4,1e-1,20,5,1e2,4,1,0.0075,1.1,5,10,0,22,HiMelt,`High basal melt rate'
1e-1,2e-2,1e-4,1e-1,20,5,1e2,4,1,0.0075,1.1,0.1,10,0,23,LoMelt,`Low basal melt rate'
1e-1,2e-2,1e-4,1e-1,20,5,1e2,4,1,0.0075,1.1,0.25,20,0,24,HiQin,`High lake input'
1e-1,2e-2,1e-4,1e-1,20,5,1e2,4,1,0.0075,1.1,0.25,5,0,25,LoQin,`Low lake input'
